microRNA	Gene1
hsa-miR-208b	AC078785.1
hsa-miR-208b	LINC01168
hsa-miR-208b	SNHG12
hsa-miR-208b	SNHG12
hsa-miR-208b	AC107029.2
hsa-miR-208b	AC078785.1
hsa-miR-208b	DUBR
hsa-miR-208b	AC068985.1
hsa-miR-208b	SNHG12
hsa-miR-208b	SNHG12
hsa-miR-208b	CLRN1-AS1
hsa-miR-208b	DUBR
hsa-miR-208b	THUMPD3-AS1
hsa-miR-208b	C3orf85
hsa-miR-208b	LINC01206
hsa-miR-208b	AC078785.1
hsa-miR-208b	LINC01140
hsa-miR-208b	AC004918.1
hsa-miR-208b	THUMPD3-AS1
hsa-miR-208b	THUMPD3-AS1
hsa-miR-208b	AC078785.1
hsa-miR-208b	AC004930.1
hsa-miR-208b	AC092925.1
hsa-miR-208b	SNHG12
hsa-miR-208b	DUBR
hsa-miR-208b	LINC00882
hsa-miR-208b	LINC00115
hsa-miR-208b	LINC01206
hsa-miR-208b	SNHG12
hsa-miR-208b	LINC00852
hsa-miR-208b	SNHG12
hsa-miR-208b	AC124276.1
hsa-miR-208b	AL512625.1
hsa-miR-208b	AC016026.1
hsa-miR-208b	AC068633.1
hsa-miR-208b	LINC01206
hsa-miR-208b	CLRN1-AS1
hsa-miR-208b	LINC00882
hsa-miR-208b	C3orf85
hsa-miR-208b	WT1-AS
hsa-miR-208b	C3orf85
hsa-miR-208b	LINC00882
hsa-miR-208b	HOXA11-AS
hsa-miR-208b	THUMPD3-AS1
hsa-miR-208b	SNHG12
hsa-miR-208b	THUMPD3-AS1
hsa-miR-208b	SNHG12
hsa-miR-208b	AC068633.1
hsa-miR-208b	AC092040.1
hsa-miR-208b	LINC01206
hsa-miR-208b	AC082651.4
hsa-miR-208b	SNHG12
hsa-miR-208b	AC008799.2
hsa-miR-208b	AC107029.1
hsa-miR-208b	LINC00882
hsa-miR-208b	COL18A1-AS1
hsa-miR-208b	LINC00994
hsa-miR-208b	LINC02016
hsa-miR-208b	SNHG12
hsa-miR-208b	THUMPD3-AS1
hsa-miR-208b	LINC01206
hsa-miR-208b	DUBR
hsa-miR-208b	AC078785.1
hsa-miR-208b	LINC00488
hsa-miR-208b	THUMPD3-AS1
hsa-miR-208b	WT1-AS
hsa-miR-208b	DUBR
hsa-miR-208b	AC078785.1
hsa-miR-208b	AC017015.2
hsa-miR-208b	THUMPD3-AS1
hsa-miR-208b	SBF2-AS1
hsa-miR-208b	UBA6-AS1
hsa-miR-208b	AC021086.1
hsa-miR-208b	UBA6-AS1
hsa-miR-208b	AC105285.1
hsa-miR-208b	LINC01184
hsa-miR-208b	DNAJC3-DT
hsa-miR-208b	AC021078.1
hsa-miR-208b	BAALC-AS1
hsa-miR-208b	LINC02202
hsa-miR-208b	AC006299.1
hsa-miR-208b	AC116535.1
hsa-miR-208b	AC025171.1
hsa-miR-208b	AC139795.2
hsa-miR-208b	SBF2-AS1
hsa-miR-208b	CXXC4-AS1
hsa-miR-208b	AC087667.1
hsa-miR-208b	DDX11-AS1
hsa-miR-208b	UBA6-AS1
hsa-miR-208b	BAALC-AS1
hsa-miR-208b	AC105285.1
hsa-miR-208b	AP003352.1
hsa-miR-208b	AC092718.1
hsa-miR-208b	LINC01184
hsa-miR-208b	AC106038.1
hsa-miR-208b	LINC00535
hsa-miR-208b	LINC01184
hsa-miR-208b	LINC01184
hsa-miR-208b	LINC00847
hsa-miR-208b	LINC00847
hsa-miR-208b	AP000977.1
hsa-miR-208b	NR2F2-AS1
hsa-miR-208b	AC009060.1
hsa-miR-208b	LINC00847
hsa-miR-208b	HAND2-AS1
hsa-miR-208b	IQCM
hsa-miR-208b	LINC02197
hsa-miR-208b	AC073530.1
hsa-miR-208b	UBA6-AS1
hsa-miR-208b	LINC01085
hsa-miR-208b	AC016650.1
hsa-miR-208b	HAND2-AS1
hsa-miR-208b	HAND2-AS1
hsa-miR-208b	LINC02492
hsa-miR-208b	AC022126.1
hsa-miR-208b	LINC02355
hsa-miR-208b	AC025171.1
hsa-miR-208b	HAND2-AS1
hsa-miR-208b	NREP-AS1
hsa-miR-208b	HAND2-AS1
hsa-miR-208b	AC025178.1
hsa-miR-208b	HAND2-AS1
hsa-miR-208b	AC099520.1
hsa-miR-208b	LINC01181
hsa-miR-208b	LINC02102
hsa-miR-208b	PCAT4
hsa-miR-208b	LINC00613
hsa-miR-208b	HAND2-AS1
hsa-miR-208b	LINC00964
hsa-miR-208b	HAND2-AS1
hsa-miR-208b	AC021086.1
hsa-miR-208b	ATG10-AS1
hsa-miR-208b	LINC02615
hsa-miR-208b	HAND2-AS1
hsa-miR-208b	AC099499.1
hsa-miR-208b	TTTY14
hsa-miR-208b	LINC02615
hsa-miR-208b	LINC02120
hsa-miR-208b	HAND2-AS1
hsa-miR-208b	HAND2-AS1
hsa-miR-208b	AC099520.1
hsa-miR-208b	LINC00613
hsa-miR-208b	LINC02056
hsa-miR-208b	LINC02056
hsa-miR-208b	UBA6-AS1
hsa-miR-208b	LINC01332
hsa-miR-208b	LINC02432
hsa-miR-208b	MEF2C-AS1
hsa-miR-208b	LINC01085
hsa-miR-208b	AC007370.2
hsa-miR-208b	AC099520.1
hsa-miR-208b	AC078881.1
hsa-miR-208b	HAND2-AS1
hsa-miR-208b	NREP-AS1
hsa-miR-208b	SMIM31
hsa-miR-208b	SH3TC2-DT
hsa-miR-208b	HAND2-AS1
hsa-miR-208b	SH3TC2-DT
hsa-miR-208b	HAND2-AS1
hsa-miR-208b	HAND2-AS1
hsa-miR-208b	LINC02120
hsa-miR-208b	LINC02492
hsa-miR-208b	IQCM
hsa-miR-208b	LINC01091
hsa-miR-208b	LINC00847
hsa-miR-208b	LINC01184
hsa-miR-208b	NREP-AS1
hsa-miR-208b	MEF2C-AS1
hsa-miR-208b	HAND2-AS1
hsa-miR-208b	EPB41L4A-AS1
hsa-miR-208b	LINC02495
hsa-miR-208b	LINC00613
hsa-miR-208b	MEF2C-AS1
hsa-miR-208b	LINC01197
hsa-miR-208b	MEF2C-AS1
hsa-miR-208b	MALAT1
hsa-miR-208b	LINC01184
hsa-miR-208b	HAND2-AS1
hsa-miR-208b	SH3TC2-DT
hsa-miR-208b	LINC02432
hsa-miR-208b	MEF2C-AS1
hsa-miR-208b	AC104958.1
hsa-miR-208b	LINC02147
hsa-miR-208b	AC091860.2
hsa-miR-208b	HAND2-AS1
hsa-miR-208b	LINC02147
hsa-miR-208b	LINC02615
hsa-miR-208b	HAND2-AS1
hsa-miR-208b	LINC00847
hsa-miR-208b	HAND2-AS1
hsa-miR-208b	AC096741.1
hsa-miR-208b	HAND2-AS1
hsa-miR-208b	HAND2-AS1
hsa-miR-208b	AC079465.1
hsa-miR-208b	AC239584.1
hsa-miR-208b	AC105285.1
hsa-miR-208b	CLMAT3
hsa-miR-208b	AC105389.1
hsa-miR-208b	AC022486.1
hsa-miR-208b	LINC01234
hsa-miR-208b	LINC00964
hsa-miR-208b	IQCM
hsa-miR-208b	AP003555.1
hsa-miR-208b	MEF2C-AS1
hsa-miR-208b	HAND2-AS1
hsa-miR-208b	LINC01085
hsa-miR-208b	LINC02432
hsa-miR-208b	LINC02363
hsa-miR-208b	LINC02615
hsa-miR-208b	UBA6-AS1
hsa-miR-208b	HAND2-AS1
hsa-miR-208b	AC034223.2
hsa-miR-208b	LINC02480
hsa-miR-208b	MEF2C-AS1
hsa-miR-208b	LINC01091
hsa-miR-208b	IQCM
